Label,URI,Short,CRM-Class,More,A1,A2
Deterioration (Object-related process) (en),http://terminology.lido-schema.org/lido01160,,E6 Destruction,E64 End of Existence,E68 Dissolution,
Beginning of existence (en),http://terminology.lido-schema.org/lido00028,E63,E63 Beginning of Existence,,,
Transformation (en),http://terminology.lido-schema.org/lido00029,E81,E81 Transformation,,,
Reconstruction (en),http://terminology.lido-schema.org/lido00723,,E11 Modification,,,
Object translocation (en),http://terminology.lido-schema.org/lido01159,,E9 Move,,,
End of existence (en),http://terminology.lido-schema.org/lido00027,E64,E64 End of Existence,,,
Destruction (Activity or process) (en),http://terminology.lido-schema.org/lido00026,E6,E6 Destruction,,,
Destruction (Activity) (en),http://terminology.lido-schema.org/lido01186,E6,E6 Destruction,,,
Destruction (Process) (en),http://terminology.lido-schema.org/lido01156,E6,E6 Destruction,,,
Unknown event (en),http://terminology.lido-schema.org/lido00003,,E7,,,
